[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ route_check ] --START--
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ route_check ] --START--
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ route_check ] --END-- [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ app_begin ] --START--
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ app_begin ] --START--
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-10-09T17:09:41+08:00 ] /Admin/index.php/Common/nvigateTO/groupid/41 | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
